 ZONE F=POINT, I=         128 , J=         250
0.140625E+02  0.212543E-02  0.100000E+01            46
0.143750E+02  0.212543E-02  0.100000E+01            47
0.146875E+02  0.212543E-02  0.100000E+01            48
0.150000E+02  0.212543E-02  0.100000E+01            49
0.153125E+02  0.212543E-02  0.100000E+01            50
0.156250E+02  0.212543E-02  0.100000E+01            51
0.159375E+02  0.212543E-02  0.100000E+01            52
0.162500E+02  0.212543E-02  0.100000E+01            53
0.165625E+02  0.212543E-02  0.100000E+01            54
0.168750E+02  0.212543E-02  0.100000E+01            55
0.171875E+02  0.212543E-02  0.100000E+01            56
0.175000E+02  0.212543E-02  0.100000E+01            57
0.178125E+02  0.212543E-02  0.100000E+01            58
0.181250E+02  0.212543E-02  0.100000E+01            59
0.184375E+02  0.212543E-02  0.100000E+01            60
0.187500E+02  0.212543E-02  0.100000E+01            61
0.190625E+02  0.212543E-02  0.100000E+01            62
0.193750E+02  0.212543E-02  0.100000E+01            63
0.196875E+02  0.212543E-02  0.100000E+01            64
0.200000E+02  0.212543E-02  0.100000E+01            65
0.203125E+02  0.212543E-02  0.100000E+01            66
0.206250E+02  0.212543E-02  0.100000E+01            67
0.209375E+02  0.212543E-02  0.100000E+01            68
0.212500E+02  0.212543E-02  0.100000E+01            69
0.215625E+02  0.212543E-02  0.100000E+01            70
0.218750E+02  0.212543E-02  0.100000E+01            71
0.221875E+02  0.212543E-02  0.100000E+01            72
0.225000E+02  0.212543E-02  0.100000E+01            73
0.228125E+02  0.212543E-02  0.100000E+01            74
0.231250E+02  0.212543E-02  0.100000E+01            75
0.234375E+02  0.212543E-02  0.100000E+01            76
0.237500E+02  0.212543E-02  0.100000E+01            77
0.240625E+02  0.212543E-02  0.100000E+01            78
0.243750E+02  0.212543E-02  0.100000E+01            79
0.246875E+02  0.212543E-02  0.100000E+01            80
0.250000E+02  0.212543E-02  0.100000E+01            81
0.253125E+02  0.212543E-02  0.100000E+01            82
0.256250E+02  0.212543E-02  0.100000E+01            83
0.259375E+02  0.212543E-02  0.100000E+01            84
0.262500E+02  0.212543E-02  0.100000E+01            85
0.265625E+02  0.212543E-02  0.100000E+01            86
0.268750E+02  0.212543E-02  0.100000E+01            87
0.271875E+02  0.212543E-02  0.100000E+01            88
0.275000E+02  0.212543E-02  0.100000E+01            89
